Date,SpeedW,Lat,Lon,Speed,Edate
05/01/202109:15:26,14.8kn(s),46.38809,-54.1021,14.8,5
05/01/202109:26:02,14.7kn(s),46.41191,-54.1541,14.7,5
05/01/202109:36:30,14.5kn(s),46.43859,-54.2017,14.5,5
05/01/202110:07:35,14.8kn(s),46.51951,-54.344,14.8,5
05/01/202110:28:36,14.4kn(s),46.57267,-54.4381,14.4,5
05/01/202110:44:23,14.4kn(s),46.61287,-54.5082,14.4,5
05/01/202111:05:26,14.1kn(s),46.67844,-54.5794,14.1,5
05/01/202111:15:51,14.4kn(s),46.71515,-54.6069,14.4,5
05/01/202111:26:10,13kn(s),46.75219,-54.6269,13,5
05/01/202111:37:05,13.5kn(s),46.78707,-54.5975,13.5,5
05/01/202111:47:51,12.7kn(s),46.82042,-54.5671,12.7,5
05/01/202111:58:31,11.1kn(s),46.8501,-54.5389,11.1,5
05/01/202112:09:22,9.6kn(s),46.87576,-54.5147,9.6,5
05/01/202112:20:41,10kn(s),46.9013,-54.4897,10,5
05/01/202112:32:02,10.5kn(s),46.92842,-54.4639,10.5,5
05/01/202113:45:03,10.4kn(s),47.09831,-54.2991,10.4,5
05/01/202114:13:00,10.2kn(s),47.16715,-54.24,10.2,5
05/01/202114:33:32,9.9kn(s),47.21727,-54.1979,9.9,5
05/01/202115:13:58,9kn(s),47.30524,-54.1111,9,5
05/01/202115:34:01,7.5kn(s),47.34803,-54.1055,7.5,5
05/01/202115:54:29,10.6kn(s),47.3985,-54.0786,10.6,5
05/01/202116:10:49,10.9kn(s),47.44422,-54.0521,10.9,5
05/01/202116:32:33,10.8kn(s),47.50394,-54.0165,10.8,5
05/01/202116:44:51,10.8kn(s),47.5384,-54.0103,10.8,5
05/01/202116:55:30,11.2kn(s),47.57039,-54.0193,11.2,5
05/01/202117:18:23,6.9kn(s),47.62611,-54.0339,6.9,5
05/01/202117:28:48,7.5kn(s),47.64689,-54.04,7.5,5
05/01/202117:38:53,7.7kn(s),47.66777,-54.046,7.7,5
05/01/202117:57:02,7.8kn(s),47.70636,-54.0552,7.8,5
05/01/202118:07:30,7.7kn(s),47.72879,-54.0576,7.7,5
05/01/202118:17:54,5.8kn(s),47.74836,-54.0578,5.8,5
05/01/202118:28:30,5.2kn(s),47.762,-54.0488,5.2,5
05/01/202118:38:53,3.7kn(s),47.77196,-54.035,3.7,5
05/01/202118:50:01,2.3kn(s),47.77668,-54.0241,2.3,5
05/01/202120:11:15,0kn(s),47.77464,-54.0157,0,5
05/01/202120:32:12,0kn(s),47.77466,-54.0157,0,5
05/01/202120:53:17,0kn(s),47.77466,-54.0157,0,5
05/01/202121:14:25,0kn(s),47.77466,-54.0157,0,5
05/01/202121:35:16,0kn(s),47.77466,-54.0157,0,5
05/01/202121:56:18,0kn(s),47.77466,-54.0157,0,5
05/01/202122:59:18,0kn(s),47.77467,-54.0157,0,5
05/01/202123:20:23,0kn(s),47.77466,-54.0157,0,5
05/01/202123:41:16,0kn(s),47.77466,-54.0157,0,5
06/01/202100:02:13,0kn(s),47.77466,-54.0157,0,6
06/01/202100:23:16,0kn(s),47.77466,-54.0157,0,6
06/01/202100:44:11,0kn(s),47.77466,-54.0157,0,6
06/01/202101:47:20,0kn(s),47.77466,-54.0157,0,6
06/01/202102:08:21,0kn(s),47.77466,-54.0157,0,6
06/01/202102:29:17,0kn(s),47.77467,-54.0157,0,6
06/01/202102:50:26,0kn(s),47.77467,-54.0157,0,6
06/01/202103:11:23,0kn(s),47.77466,-54.0157,0,6
06/01/202103:32:27,0kn(s),47.77466,-54.0157,0,6
06/01/202103:56:12,0kn(s),47.77466,-54.0157,0,6
06/01/202104:59:28,0kn(s),47.77466,-54.0157,0,6
06/01/202105:20:13,0kn(s),47.77466,-54.0157,0,6
06/01/202105:41:23,0kn(s),47.77466,-54.0157,0,6
06/01/202106:02:27,0kn(s),47.77466,-54.0157,0,6
06/01/202106:26:16,0kn(s),47.77466,-54.0157,0,6
06/01/202107:29:26,0kn(s),47.77466,-54.0157,0,6
06/01/202107:50:21,0kn(s),47.77466,-54.0157,0,6
